"Recid","Comname","Comlocation","Recdate","Comsize","Advertising","Visit","Meeting","Tecconsult","Tecresearch","Costoffice","Costtravel","Costentertain","Costbonus","Sales"
"2721","xxx","tianjin","2012","middle","57.3","42.7","0","0","0","4110","810","918","1401","497328"
"2722","xxx","hebei","2015","small","0","0","0","100","0","1933","105","173","962","74124"
"2723","xxx","hebei","2011","middle","55.1","0","20","24.9","0","4530","727","629","1351","389456"
"2724","xxx","shandong","2019","middle","0","36.4","10.5","0","53.1","3423","876","658","790","387560"
"2725","xxx","shandong","2019","middle","0","3","0","80.6","16.4","5286","873","921","1162","279314"
"2726","xxx","beijing","2021","middle","32.1","43.2","24.8","0","0","4406","703","862","1166","449586"
"2727","xxx","tianjin","2010","small","0","47.7","0","52.3","0","1982","478","264","923","72703"
"2728","xxx","tianjin","2014","small","0","0","85.5","6.5","8","2588","344","139","696","151910"
"2729","xxx","tianjin","2015","small","25.6","28.1","46.4","0","0","3703","256","279","959","210180"
"2730","xxx","tianjin","2011","middle","0","29.1","0","28.6","42.3","5060","746","867","1292","426158"
"2731","xxx","beijing","2020","small","59.8","28","0","0","12.2","3887","421","223","434","176576"
"2732","xxx","hebei","2015","small","0","0","0","47.4","52.6","1814","328","212","250","115608"
"2733","xxx","shandong","2014","small","0","75.3","0","24.7","0","2565","317","159","470","129271"
"2734","xxx","tianjin","2018","small","30.5","33.4","2.2","0","33.9","1143","216","105","591","223146"
"2735","xxx","tianjin","2010","small","0","40.7","36.3","23","0","2021","233","287","699","53000"
"2736","xxx","beijing","2013","small","0","36.1","19.9","0","44","3222","253","298","517","78142"
"2737","xxx","beijing","2021","small","42.8","0","0","0","57.2","677","204","192","382","63344"
"2738","xxx","tianjin","2020","middle","33.1","0","30.9","0","36.1","5074","785","746","1198","250513"
"2739","xxx","hebei","2013","small","0","0","100","0","0","2981","296","256","852","170812"
"2740","xxx","hebei","2017","small","36.8","0","26.9","0","36.3","3266","240","205","216","76168"
"2741","xxx","hebei","2017","small","57.3","0","42.7","0","0","1219","279","159","600","91035"
"2742","xxx","hebei","2017","small","43.5","0","20.9","25.9","9.7","2323","359","258","504","151000"
"2743","xxx","beijing","2012","middle","0","17.7","67.2","0","15.1","4662","792","953","774","380438"
"2744","xxx","tianjin","2017","middle","7.3","29.8","8.7","0","54.2","4345","734","961","1138","223184"
"2745","xxx","hebei","2018","small","0","0","92.9","7.1","0","2796","426","178","965","148082"
"2746","xxx","shandong","2016","small","0","36.1","30.8","33","0","1596","165","281","659","233066"
"2747","xxx","tianjin","2010","small","21.5","15","1.1","0","62.4","2302","205","207","547","137150"
"2748","xxx","tianjin","2012","small","34.1","32.5","11.8","4.1","17.6","3586","449","130","869","227782"
"2749","xxx","beijing","2011","middle","0","0","0","0","0","4889","885","920","888","589465"
"2750","xxx","shanghai","2012","middle","0","0","21.8","78.2","0","3121","989","903","684","252632"
"2751","xxx","shanghai","2012","small","0","0","0","0","0","3992","413","253","596","173864"
"2752","xxx","shandong","2013","middle","3.8","31.4","14.8","6.6","43.4","3091","815","794","795","369325"
"2753","xxx","beijing","2017","small","41.2","0","0","46.3","12.5","2246","122","229","567","293615"
"2754","xxx","shanghai","2014","small","0","0","74.8","19","6.2","1517","177","186","636","99799"
"2755","xxx","shanghai","2020","small","34.8","20","0","21.8","23.4","1213","128","144","361","251257"
"2756","xxx","hebei","2021","small","0","0","10.8","46","43.2","2900","196","102","258","80628"
"2757","xxx","shanghai","2012","middle","0","0","0","100","0","4717","912","991","954","293721"
"2758","xxx","hebei","2011","middle","0","0","20.3","79.7","0","4661","971","623","1133","259070"
"2759","xxx","hebei","2011","middle","51.2","0","11.7","37.1","0","4229","944","759","839","233959"
"2760","xxx","beijing","2011","small","35.3","55.7","0","9","0","710","252","157","556","245498"
"2761","xxx","beijing","2014","small","51.9","0","28.3","0","19.8","1512","293","287","746","253329"
"2762","xxx","hebei","2020","middle","0","52.4","47.6","0","0","5144","756","781","1407","474122"
"2763","xxx","shanghai","2020","small","0","0","0","100","0","1804","199","134","260","245106"
"2764","xxx","tianjin","2017","small","0","0","0","0","0","3624","393","108","625","169067"
"2765","xxx","hebei","2021","middle","0","0","0","0","100","4429","726","813","1116","238762"
"2766","xxx","beijing","2017","small","25.7","0","20.2","0","54.1","1292","428","152","826","230455"
"2767","xxx","beijing","2014","small","16","0","68.8","0","15.2","1241","430","298","755","173657"
"2768","xxx","beijing","2019","middle","0","0","0","0","100","5960","780","850","1309","560275"
"2769","xxx","beijing","2016","small","0","74.3","0","25.7","0","2671","171","131","287","89709"
"2770","xxx","shandong","2017","small","0","0","41.5","0","58.5","3709","131","189","501","148550"
"2771","xxx","shandong","2021","middle","66.9","0","0","33.1","0","5818","753","643","826","548424"
"2772","xxx","shanghai","2013","middle","23.1","0","45.8","31.1","0","3946","754","960","1484","233182"
"2773","xxx","shandong","2014","small","0","0","40","45.3","14.7","3262","372","199","214","131091"
"2774","xxx","hebei","2010","small","33","67","0","0","0","1846","409","239","472","143812"
"2775","xxx","hebei","2017","small","0","8.1","10.8","57.6","23.5","3447","170","131","242","142552"
"2776","xxx","shandong","2010","middle","22.3","55.1","14.7","0","8","3736","860","686","1447","494013"
"2777","xxx","shanghai","2020","middle","0","0","100","0","0","3561","889","781","1274","472331"
"2778","xxx","tianjin","2010","small","23","46.7","19.4","0","10.9","1391","163","120","597","168632"
"2779","xxx","beijing","2015","small","5.6","35.7","10.4","28.2","20.1","1745","425","178","471","82015"
"2780","xxx","shanghai","2020","middle","40.5","0","0","0","59.5","5695","830","887","1080","374938"
"2781","xxx","hebei","2016","small","0","34.8","0","0","65.2","3173","334","262","877","200063"
"2782","xxx","hebei","2017","small","33.1","8","0","59","0","566","411","191","840","272365"
"2783","xxx","hebei","2017","small","15.6","3.6","3.2","34","43.6","666","281","105","868","216775"
"2784","xxx","hebei","2018","middle","0","38.5","47.6","0","13.9","3176","854","948","1195","372789"
"2785","xxx","shanghai","2012","middle","0","0","0","0","0","5621","737","765","1452","287549"
"2786","xxx","tianjin","2015","small","0","17.2","26.3","19.3","37.1","3349","432","104","690","132823"
"2787","xxx","beijing","2020","small","0","100","0","0","0","2475","307","242","971","62721"
"2788","xxx","shandong","2013","middle","28.9","0","0","0","71.1","5424","883","627","1334","516508"
"2789","xxx","shandong","2015","middle","14","0","3.8","66.7","15.5","3316","737","697","624","432182"
"2790","xxx","shandong","2019","middle","0","0","100","0","0","5388","906","632","683","472204"
"2791","xxx","beijing","2018","middle","53.9","0","30.3","15.8","0","5874","977","999","1072","300510"
"2792","xxx","beijing","2018","middle","0","0","100","0","0","4978","718","686","563","445368"
"2793","xxx","shanghai","2019","small","55.9","44.1","0","0","0","1185","316","199","341","203890"
"2794","xxx","tianjin","2016","small","26.9","0","0","0","73.1","2591","175","266","356","63505"
"2795","xxx","hebei","2011","middle","7.2","15.5","17.8","59.5","0","4421","903","932","1058","289170"
"2796","xxx","tianjin","2013","small","23","8.8","35","9.9","23.3","1198","344","121","943","97930"
"2797","xxx","shanghai","2017","middle","0","0","0","100","0","4921","970","830","1154","481549"
"2798","xxx","shanghai","2017","middle","0","0","0","0","100","4504","705","789","1466","515264"
"2799","xxx","hebei","2011","middle","35","0","65","0","0","4555","827","875","1386","545765"
"2800","xxx","tianjin","2019","small","0","0","32.8","67.2","0","1904","158","211","982","156181"
"2801","xxx","tianjin","2013","middle","0","100","0","0","0","4163","989","801","1437","230185"
"2802","xxx","hebei","2011","middle","0","47.8","0","19.7","32.5","5171","984","636","1104","554907"
"2803","xxx","shanghai","2017","middle","0","41.2","31","22.7","5.1","5643","725","775","993","468090"
"2804","xxx","shanghai","2021","middle","32","0","0","0","68","3855","870","757","767","432715"
"2805","xxx","beijing","2011","small","0","69.7","19.8","0","10.4","2955","441","178","555","276750"
"2806","xxx","shanghai","2020","small","0","100","0","0","0","2391","373","289","688","299920"
"2807","xxx","beijing","2016","small","62.5","0","37.5","0","0","3429","119","288","485","230330"
"2808","xxx","hebei","2012","middle","72.6","27.4","0","0","0","4656","769","937","838","496888"
"2809","xxx","shanghai","2014","middle","29.3","55.3","4.9","0","10.6","3760","897","867","944","344458"
"2810","xxx","shanghai","2021","small","0","0","100","0","0","954","379","192","797","133391"
"2811","xxx","tianjin","2010","middle","0","35.1","64.9","0","0","4577","859","634","691","372171"
"2812","xxx","beijing","2020","middle","7.1","33","38.1","9.2","12.6","5370","955","941","751","520150"
"2813","xxx","shanghai","2014","middle","0.4","99.6","0","0","0","4923","978","683","1258","349775"
"2814","xxx","shanghai","2016","middle","0","56.5","0","0","43.5","3366","788","817","1162","377383"
"2815","xxx","shanghai","2013","middle","0","48","14.6","0","37.4","3669","851","891","582","283741"
"2816","xxx","hebei","2011","middle","0","0","0","100","0","5071","747","901","767","461917"
"2817","xxx","shanghai","2012","middle","43.9","0","43.7","7.8","4.6","5806","895","684","763","309797"
"2818","xxx","beijing","2018","middle","55.5","0","31","13.5","0","3031","995","771","1333","546888"
"2819","xxx","beijing","2012","middle","40.6","9","0","34.9","15.4","3125","716","825","562","272384"
"2820","xxx","hebei","2011","small","62.9","0","0","0","37.1","1660","174","269","858","294140"
"2821","xxx","beijing","2017","middle","0","0","0","100","0","3697","839","851","1271","265979"
"2822","xxx","hebei","2017","small","0","0","91.1","0","8.9","2588","199","249","768","139609"
"2823","xxx","shandong","2012","small","0","0","0","48.7","51.3","1189","343","247","635","92962"
"2824","xxx","tianjin","2013","small","51.7","0","31.4","16.8","0","2801","440","168","669","54579"
"2825","xxx","tianjin","2013","small","0","0","0","31.9","68.1","1468","228","179","857","118320"
"2826","xxx","shanghai","2012","small","0","20.2","79.8","0","0","2316","439","285","699","288303"
"2827","xxx","shanghai","2014","small","52.6","0","0","32.2","15.2","1411","119","210","833","125881"
"2828","xxx","shandong","2013","small","0","25.5","19.9","54.5","0","2179","492","268","766","60512"
"2829","xxx","hebei","2013","small","58","6.1","0","1.4","34.4","1098","385","274","966","155746"
"2830","xxx","beijing","2019","middle","5.2","54.6","29.2","0","10.9","5806","903","615","560","202492"
"2831","xxx","beijing","2014","middle","0","0","100","0","0","4167","796","665","542","363957"
"2832","xxx","tianjin","2012","small","0","0","47.9","0","52.1","1361","334","174","245","273971"
"2833","xxx","hebei","2019","small","0","13.5","86.5","0","0","3667","271","107","612","172032"
"2834","xxx","beijing","2017","small","0","0","0","100","0","1311","127","233","994","78939"
"2835","xxx","shandong","2019","small","39.4","23.1","0","8.8","28.7","2680","390","221","617","215142"
"2836","xxx","shanghai","2013","small","0","54.8","0","45.2","0","2217","403","273","957","180893"
"2837","xxx","shandong","2015","middle","0","18.5","0","81.5","0","5159","907","751","912","295398"
"2838","xxx","hebei","2017","middle","12.6","18.9","68.5","0","0","5145","789","729","1081","267924"
"2839","xxx","hebei","2013","middle","15","28","12.5","0","44.5","5874","739","899","541","257463"
"2840","xxx","shanghai","2012","small","21.5","0","70.7","3.4","4.4","1959","144","184","804","273173"
"2841","xxx","beijing","2021","small","0","40.6","31","28.4","0","1666","464","168","568","89709"
"2842","xxx","beijing","2014","middle","0","0","100","0","0","5159","909","749","1416","519693"
"2843","xxx","shandong","2018","small","10.5","3","0","86.5","0","979","411","295","270","251128"
"2844","xxx","beijing","2014","small","0","0","22","20","58","707","387","277","559","203379"
"2845","xxx","tianjin","2017","middle","0","0","0","0","0","4172","883","770","791","333155"
"2846","xxx","shandong","2014","small","0","100","0","0","0","3617","455","297","359","157895"
"2847","xxx","shandong","2013","small","0","0","100","0","0","3079","485","127","436","180065"
"2848","xxx","shandong","2017","small","23.6","0","19.3","0","57.1","3504","447","169","690","135231"
"2849","xxx","shanghai","2013","middle","50.2","0","49.8","0","0","5571","889","851","1249","341300"
"2850","xxx","tianjin","2019","middle","12.6","0","45.1","0","42.4","3021","829","787","687","586163"
"2851","xxx","beijing","2017","small","0","0","0","15.2","84.8","1760","398","270","598","288768"
"2852","xxx","shandong","2018","middle","100","0","0","0","0","3900","941","739","1328","254090"
"2853","xxx","shandong","2010","small","0","37.5","62.5","0","0","2852","161","183","754","106709"
"2854","xxx","shanghai","2013","middle","48.4","0","23","0","28.6","3909","809","723","1117","440654"
"2855","xxx","tianjin","2018","small","0","0","100","0","0","1462","119","160","223","253852"
"2856","xxx","beijing","2012","small","75.5","24.5","0","0","0","954","337","297","643","82327"
"2857","xxx","shanghai","2011","small","91.8","0","1.3","6.9","0","1415","179","277","260","87399"
"2858","xxx","tianjin","2012","middle","0","0","52.7","47.3","0","4679","845","817","943","564951"
"2859","xxx","shandong","2010","small","1.7","0","98.3","0","0","2108","205","211","612","106684"
"2860","xxx","hebei","2017","middle","97.7","0","0","0","2.3","3125","735","689","928","225675"
"2861","xxx","hebei","2012","small","0","24.8","16.2","37","22","2860","394","185","220","137692"
"2862","xxx","hebei","2016","middle","89.4","0","0","10.6","0","3171","886","751","1267","351236"
"2863","xxx","hebei","2011","small","39.7","0","17.3","0","43","2136","219","280","267","212216"
"2864","xxx","tianjin","2020","middle","30.9","0","69.1","0","0","4796","837","763","581","572458"
"2865","xxx","beijing","2013","middle","23.8","27.3","0","25.4","23.5","4770","706","753","959","357699"
"2866","xxx","hebei","2015","small","0","100","0","0","0","685","355","256","766","208463"
"2867","xxx","tianjin","2021","middle","28.2","0","0","0","71.8","4495","771","706","1068","473725"
"2868","xxx","beijing","2014","small","0","68.8","0","0","31.2","2132","192","118","828","54994"
"2869","xxx","shanghai","2011","middle","38.3","0","61.7","0","0","3534","736","828","1117","374310"
"2870","xxx","shanghai","2020","small","0","45.3","54.7","0","0","1508","139","199","683","229182"
"2871","xxx","hebei","2013","middle","0","32.7","12.9","54.3","0","4561","817","892","592","487300"
"2872","xxx","shanghai","2021","middle","35.2","64.8","0","0","0","5777","869","929","1094","434345"
"2873","xxx","hebei","2015","small","29.4","33.1","0","37.5","0","678","324","279","817","143115"
"2874","xxx","beijing","2017","middle","0","54.6","7","21.7","16.7","5401","774","683","1094","435059"
"2875","xxx","tianjin","2013","middle","0","0","31.8","14.8","53.4","5666","720","629","1017","281139"
"2876","xxx","shanghai","2015","small","38.9","21.5","0","2.2","37.4","1651","418","256","873","210024"
"2877","xxx","shandong","2013","small","0","0","0","100","0","2639","152","113","318","270946"
"2878","xxx","beijing","2015","small","36.8","13.2","20.9","29.1","0","2094","211","132","635","271172"
"2879","xxx","beijing","2013","small","0","0","35.6","0","64.4","1531","381","195","422","150380"
"2880","xxx","shandong","2013","small","100","0","0","0","0","3729","186","191","811","93398"
"2881","xxx","tianjin","2010","small","63.4","0","31.5","0.2","4.9","3909","499","232","644","240178"
"2882","xxx","hebei","2020","middle","35","30.1","34.9","0","0","3762","765","973","1229","285208"
"2883","xxx","beijing","2017","small","0","2","0","98","0","792","102","297","782","159055"
"2884","xxx","shanghai","2011","middle","0","0","100","0","0","5891","714","732","768","351512"
"2885","xxx","hebei","2016","small","96.3","0","0","3.7","0","3657","137","264","267","176150"
"2886","xxx","hebei","2017","middle","19","20.2","32","28.8","0","3832","963","681","626","381430"
"2887","xxx","shandong","2014","middle","0","100","0","0","0","4551","787","610","1319","206364"
"2888","xxx","tianjin","2010","middle","100","0","0","0","0","5009","750","840","809","494980"
"2889","xxx","tianjin","2010","small","0","0","52.3","9","38.7","1023","223","262","976","90648"
"2890","xxx","shanghai","2020","middle","56.6","43.4","0","0","0","5124","809","815","1411","252107"
"2891","xxx","tianjin","2011","small","36.4","42.2","9.2","0","12.2","1824","332","170","528","74890"
"2892","xxx","shanghai","2010","middle","0","0","0","100","0","3264","986","884","1085","442857"
"2893","xxx","shanghai","2010","small","0","0","0","0","0","2682","311","131","945","226674"
"2894","xxx","hebei","2021","small","0","0","0","100","0","2241","222","173","524","250995"
"2895","xxx","shanghai","2021","small","0","41.6","56.1","0","2.3","665","402","255","216","104043"
"2896","xxx","beijing","2014","middle","0","21.4","41.8","7.6","29.2","5568","960","618","1025","253069"
"2897","xxx","hebei","2012","middle","49.1","33.4","0","17.4","0","3075","793","768","891","467782"
"2898","xxx","hebei","2019","small","0","81.5","18.5","0","0","593","135","196","946","241887"
"2899","xxx","shandong","2017","middle","84.2","0","0","15.8","0","5511","963","984","812","242277"
"2900","xxx","beijing","2018","small","100","0","0","0","0","1707","445","145","332","276998"
"2901","xxx","shanghai","2015","small","11.7","0","11.9","76.4","0","3694","477","251","600","262910"
"2902","xxx","shanghai","2011","small","0","0","0","64.5","35.5","2947","189","173","624","255615"
"2903","xxx","shandong","2018","small","0","47.7","0","43.1","9.2","1985","407","162","474","65236"
"2904","xxx","hebei","2018","small","16.5","0","24","0","59.5","2025","177","237","948","176161"
"2905","xxx","tianjin","2015","small","0","0","0","0","100","794","471","264","444","177737"
"2906","xxx","shanghai","2018","middle","0","50.1","49.9","0","0","3204","930","914","620","472604"
"2907","xxx","beijing","2011","small","3.8","0","62.8","0","33.4","3979","240","244","457","234563"
"2908","xxx","shandong","2011","middle","0","0","7.2","69.6","23.2","4361","980","774","590","492140"
"2909","xxx","shandong","2011","small","69.5","2.6","0","28","0","3869","172","190","571","118735"
"2910","xxx","shandong","2020","small","28.6","55.5","15.8","0","0","3660","267","160","630","173887"
"2911","xxx","tianjin","2016","middle","0","56","0","41.3","2.7","3744","876","820","1406","263664"
"2912","xxx","shanghai","2012","middle","0","0","0","0","0","3787","713","998","758","368396"
"2913","xxx","shanghai","2012","middle","0","81.7","18.3","0","0","3450","703","850","1339","330206"
"2914","xxx","shanghai","2011","middle","57.5","20.9","0","21.6","0","5978","826","749","1023","372290"
"2915","xxx","tianjin","2017","middle","78.9","0","0","0","21.1","5200","719","968","936","348891"
"2916","xxx","shandong","2021","small","0","8","28.4","22.4","41.2","3449","106","146","783","249507"
"2917","xxx","hebei","2014","middle","22.4","29.2","23.6","0","24.7","3456","845","745","579","344518"
"2918","xxx","shandong","2011","middle","52.1","0","0","0","47.9","3699","797","645","731","453149"
"2919","xxx","shandong","2015","middle","79.7","19.4","0","0.9","0","5674","778","657","1405","252323"
"2920","xxx","shanghai","2014","small","0","0","0","78.5","21.5","1760","357","217","763","73491"
"2921","xxx","hebei","2015","middle","79.7","0","0","0","20.3","3023","917","690","1045","411933"
"2922","xxx","shandong","2017","middle","0","0","0","100","0","5225","910","832","813","443568"
"2923","xxx","shandong","2016","middle","24.8","48.9","0","0","26.2","5370","938","890","554","520437"
"2924","xxx","hebei","2016","middle","54.7","22.1","23.2","0","0","4209","730","948","1273","279257"
"2925","xxx","beijing","2018","small","0","32.5","67.5","0","0","3859","372","155","677","170283"
"2926","xxx","hebei","2012","middle","100","0","0","0","0","4614","816","838","1200","407898"
"2927","xxx","shanghai","2015","small","19.5","0","45.7","7.9","26.9","2327","336","273","250","180970"
"2928","xxx","shanghai","2018","middle","0","100","0","0","0","4307","700","847","509","594758"
"2929","xxx","hebei","2012","middle","29.6","45.1","0","0","25.3","3672","778","905","596","255152"
"2930","xxx","shandong","2013","middle","11.1","0","0","63.9","25.1","5729","977","604","815","454090"
"2931","xxx","tianjin","2019","middle","100","0","0","0","0","4523","706","785","708","293524"
"2932","xxx","hebei","2020","middle","0","7.8","0","0","92.2","3946","782","633","669","405116"
"2933","xxx","hebei","2012","middle","40.7","0","59.3","0","0","3903","756","734","703","303601"
"2934","xxx","beijing","2015","middle","27.8","52.7","14.5","0","4.9","5191","710","837","863","483702"
"2935","xxx","tianjin","2015","small","11.5","8.7","9.3","22","48.5","2591","233","133","285","90284"
"2936","xxx","beijing","2011","middle","0","0","47","53","0","4412","784","832","660","224535"
"2937","xxx","shandong","2017","small","76.9","2.3","2.9","0","17.9","697","314","259","809","147631"
"2938","xxx","hebei","2015","middle","10.4","0","80.5","0","9.1","5498","975","931","985","259596"
"2939","xxx","beijing","2018","middle","0","0","0","52.8","47.2","5940","956","748","1381","546728"
"2940","xxx","hebei","2016","middle","0","0","0","100","0","5805","808","891","925","408044"
"2941","xxx","shandong","2016","middle","12.7","33.4","16.8","18.6","18.6","3659","903","865","719","341823"
"2942","xxx","shandong","2011","small","0","0","88.6","0","11.4","2184","222","212","608","233457"
"2943","xxx","beijing","2011","middle","0","0","0","0","100","4487","936","777","944","369477"
"2944","xxx","shanghai","2011","small","0","0","0","0","0","3944","347","168","500","123723"
"2945","xxx","hebei","2017","middle","0","52","44.2","0","3.8","5655","830","681","1363","326387"
"2946","xxx","beijing","2013","small","28.1","0","19.8","0","52.1","2859","165","172","895","101268"
"2947","xxx","hebei","2012","small","0","29.7","53.6","16.7","0","3497","274","247","669","161677"
"2948","xxx","shandong","2020","small","0","0","61","39","0","2249","464","231","421","249729"
"2949","xxx","hebei","2011","small","0","24.5","0","75.5","0","1439","368","270","820","141051"
"2950","xxx","beijing","2020","small","0","19.8","23.1","0","57.1","1695","361","139","805","72119"
"2951","xxx","beijing","2011","middle","0","0","0","100","0","5923","937","739","643","395994"
"2952","xxx","shanghai","2017","middle","3.3","0","61.9","34.1","0.7","3378","964","990","759","254690"
"2953","xxx","tianjin","2015","middle","0","100","0","0","0","3473","748","981","502","562099"
"2954","xxx","shanghai","2015","middle","0","0","78.5","0","21.5","5829","994","862","1447","298477"
"2955","xxx","beijing","2014","small","0","0","0","100","0","895","177","111","483","58526"
"2956","xxx","shanghai","2014","middle","70","0","0","18.4","11.6","4360","858","738","745","366700"
"2957","xxx","shandong","2018","small","0","0","18.2","51.2","30.6","3486","182","161","480","102347"
"2958","xxx","tianjin","2018","middle","9.3","76","0","0","14.7","4650","823","801","983","589914"
"2959","xxx","beijing","2012","middle","0","0","0","0","0","3050","944","831","957","237159"
"2960","xxx","shandong","2013","small","0","100","0","0","0","1703","398","289","457","233346"
"2961","xxx","tianjin","2021","small","19.1","16.4","0","35.7","28.9","1350","147","272","559","288754"
"2962","xxx","shanghai","2020","small","17.5","0","16.1","0","66.4","3186","482","107","897","273210"
"2963","xxx","tianjin","2020","small","0","0","0","100","0","877","410","292","308","128525"
"2964","xxx","hebei","2020","small","0","0","0","59.9","40.1","3956","179","184","313","259771"
"2965","xxx","beijing","2014","small","0","0","38.9","61.1","0","3147","390","274","374","69505"
"2966","xxx","shandong","2020","small","0","0","0","0","100","1151","365","109","857","230567"
"2967","xxx","beijing","2019","middle","0","0","0","100","0","5903","995","753","1416","586949"
"2968","xxx","tianjin","2012","middle","0","70.4","29.6","0","0","5484","816","635","769","426785"
"2969","xxx","tianjin","2020","middle","0","35","0","0","65","3739","833","662","693","536589"
"2970","xxx","beijing","2019","small","0","0","0","0","100","1550","277","298","637","94416"
"2971","xxx","hebei","2015","middle","0","0","22.5","77.5","0","5788","752","669","970","513240"
"2972","xxx","shandong","2010","small","72","0","0","28","0","1650","131","126","738","271665"
"2973","xxx","hebei","2014","small","74","0","0","26","0","3881","116","165","542","183768"
"2974","xxx","beijing","2020","middle","2.3","49.9","34","13.8","0","3037","768","854","878","290026"
"2975","xxx","shandong","2011","middle","44.1","0","55.9","0","0","5434","950","936","1484","492352"
"2976","xxx","shandong","2016","middle","31.1","0","26.2","1","41.7","5029","950","829","1207","541130"
"2977","xxx","shandong","2020","small","12.3","0","45.6","42.1","0","966","405","191","352","123418"
"2978","xxx","tianjin","2011","small","6.2","17.4","76.4","0","0","3798","113","125","393","251312"
"2979","xxx","beijing","2019","middle","68.4","0","0","0","31.6","5853","922","796","680","239061"
"2980","xxx","hebei","2020","middle","23.8","0","0","0","76.2","5786","729","639","821","353977"
"2981","xxx","hebei","2014","small","66.6","0","0","28","5.3","633","196","155","551","75881"
"2982","xxx","hebei","2015","middle","12.9","0","12.6","58.4","16.2","4990","990","679","597","375436"
"2983","xxx","tianjin","2020","middle","0","5.8","0","0","94.2","3837","862","845","509","467475"
"2984","xxx","shandong","2012","small","0","0","5.2","49.7","45.1","3667","204","295","200","209120"
"2985","xxx","tianjin","2017","middle","17.5","29.2","1.7","0","51.6","5158","977","849","973","434247"
"2986","xxx","shanghai","2016","middle","0","14.1","0","65.5","20.4","3229","910","946","972","225756"
"2987","xxx","beijing","2010","small","0","0","0","79.1","20.9","2104","373","156","857","265458"
"2988","xxx","shanghai","2021","small","17.7","52","0","15.8","14.5","822","112","180","261","228168"
"2989","xxx","tianjin","2019","small","0","0","100","0","0","3553","398","130","332","289795"
"2990","xxx","shanghai","2013","middle","1.8","43.7","23","21.1","10.4","4141","888","976","889","215669"
"2991","xxx","shandong","2015","middle","0","0","0","0","100","5383","745","730","622","557651"
"2992","xxx","shanghai","2020","small","31.1","0","68.9","0","0","1186","183","106","409","63009"
"2993","xxx","beijing","2013","middle","27.6","51.9","0","20.4","0","3264","875","897","1171","400041"
"2994","xxx","beijing","2014","small","22.6","77.4","0","0","0","785","148","294","880","293586"
"2995","xxx","shanghai","2018","small","62.2","0","0","0","37.8","2377","478","190","208","125519"
"2996","xxx","shanghai","2012","middle","0","0","35.5","61.3","3.2","5148","878","606","1304","495905"
"2997","xxx","shanghai","2014","middle","0","0","100","0","0","5145","704","654","1358","334880"
"2998","xxx","shanghai","2016","middle","57.3","0","0","0","42.7","4018","719","941","1169","361874"
"2999","xxx","shanghai","2012","small","6.2","0","28.6","45.3","19.9","2900","428","232","623","148808"
"3000","xxx","hebei","2011","small","0","30.6","0","69.4","0","641","282","182","247","232456"
"3001","xxx","tianjin","2018","small","0","0","100","0","0","2643","275","262","254","142857"
"3002","xxx","shanghai","2016","middle","0","78.7","21.3","0","0","3144","861","908","501","476979"
"3003","xxx","shanghai","2020","big","1.8","83.8","0","14.5","0","4530","540","749","1122","2447520"
"3004","xxx","shanghai","2013","middle","0","0","100","0","0","4479","754","865","995","395048"
"3005","xxx","tianjin","2019","middle","0","100","0","0","0","3648","765","661","1123","265185"
"3006","xxx","tianjin","2020","middle","41.9","58.1","0","0","0","3001","816","913","591","438193"
"3007","xxx","tianjin","2015","small","0.7","85.9","0","0","13.4","1101","157","183","829","222535"
"3008","xxx","shanghai","2017","small","0","0","31.7","68.3","0","1203","346","112","865","59909"
"3009","xxx","shanghai","2011","small","0","24.8","0","75.2","0","1194","416","241","600","231964"
"3010","xxx","hebei","2012","small","100","0","0","0","0","1241","186","200","410","159692"
"3011","xxx","tianjin","2013","middle","0","0","54.6","0","45.4","5487","960","689","1460","481146"
"3012","xxx","hebei","2012","middle","12.7","0","0","0","87.3","4556","877","999","831","213195"
"3013","xxx","shanghai","2013","small","16.7","0","46.2","20.3","16.8","3709","461","109","224","56918"
"3014","xxx","shanghai","2015","big","0","55.6","44.4","0","0","4327","702","555","1545","1224457"
"3015","xxx","tianjin","2013","middle","82.3","0","17.7","0","0","3687","854","718","523","436727"
"3016","xxx","hebei","2017","small","0","33.3","22.5","0","44.2","1188","147","225","503","246538"
"3017","xxx","shandong","2018","small","46.3","33.9","16.3","3.4","0","3749","241","187","347","172818"
"3018","xxx","beijing","2020","small","100","0","0","0","0","1697","212","181","992","272058"
"3019","xxx","tianjin","2020","small","0","42.5","2.4","55.1","0","1537","228","131","816","108196"
"3020","xxx","tianjin","2018","middle","7.7","14.8","0.9","34.2","42.4","3764","814","660","828","522800"
"3021","xxx","tianjin","2010","small","38.4","0","0.3","61.3","0","3618","469","209","572","250471"
"3022","xxx","hebei","2018","small","60.8","0","20.5","0","18.7","1388","343","174","882","259136"
"3023","xxx","tianjin","2018","small","65.9","0","34.1","0","0","3252","395","169","934","85849"
"3024","xxx","beijing","2014","small","0","100","0","0","0","2434","342","249","906","122625"
"3025","xxx","tianjin","2018","middle","0","45.6","0","54.4","0","5156","841","763","830","527979"
"3026","xxx","shanghai","2014","small","0","0","100","0","0","3759","471","282","746","158791"
"3027","xxx","beijing","2016","middle","64.8","0","0","0","35.2","5427","823","744","1120","504052"
"3028","xxx","tianjin","2015","middle","29.2","34.6","21","15.3","0","5270","854","861","1130","305123"
"3029","xxx","shanghai","2018","small","0","63.1","2.6","34.3","0","3134","288","297","219","266651"
